short_description,date_posted,post_time_hour_24h,day_of_week,niche_category,content_format,content_format_clean,hook_style,trending_sound_used,video_duration_seconds,views,likes,comments,shares,saves_or_favorites,engagement_rate,performance_label,followers_gained,watch_time_percentage,avg_watch_time_seconds,hashtag_1,hashtag_2,hashtag_3,total_hashtag_count
How to find cheaper flights?,12/01/2026,10:13,Monday,Travel Hacks,text_overlay,text_overlay,Question,0,11.23,5856,195,42,36,14,0.04901,Medium,0,22.54%,2.92,travelhacks,cheapflights,creatorsearchinsight,3
Budget breakdown for a 7-day trip?,19/01/2026,13:37,Monday,Budget Travel,voiceover,voiceover,Question,0,38.56,170235,7576,1672,969,448,0.062649,High,10,11.98%,5.16,travelsavings,traveltips,workvisa,4
My experience: Visa interview questions to prepare for,20/11/2025,22:30,Thursday,Visa Application Tips,text_overlay,text_overlay,Story,0,23.56,71587,3015,568,232,316,0.057706,Medium,5,24.62%,4.42,visaguide,immigration,visa,5
Approval rate tips - Affordable destinations for 2026,20/12/2025,18:00,Saturday,Budget Travel,voiceover,voiceover,Statistic,0,59.17,108005,3883,331,734,994,0.055016,Medium,5,12.11%,8.49,traveltips,budgettravel,studyabroad,3
3 documents you must not forget?,19/12/2025,14:10,Friday,Visa Application Tips,voiceover,voiceover,Question,0,46.21,106039,5039,796,521,530,0.064938,High,4,21.83%,8.84,visa,visatips,studyabroad,5
3 documents you must not forget?,27/01/2026,19:30,Tuesday,Visa Application Tips,voiceover,voiceover,Question,0,38.5,66991,3218,596,662,180,0.069502,High,2,13.78%,5.0,travelvisa,visatips,travel,3
How to find cheaper flights?,17/01/2026,18:37,Saturday,Travel Hacks,text_overlay,text_overlay,Question,0,11.48,29135,1028,255,72,82,0.049322,Medium,3,4.00%,1.0,budgettravel,cheapflights,studyabroad,4
My experience: Step-by-step visa process explained,22/01/2026,09:58,Thursday,Visa Application Tips,text_overlay,text_overlay,Story,0,40.38,310496,13181,1166,2051,3037,0.062593,High,20,15.28%,7.21,visa,travelvisa,visa,3
How to: Hotel booking trick,04/11/2025,15:37,Tuesday,Travel Hacks,text_overlay,text_overlay,Tutorial,0,41.83,120393,6097,981,440,1031,0.071009,High,10,22.59%,8.73,packinghacks,cheapflights,packinghacks,5
How to: Perfect itinerary for first-timers,24/01/2026,10:30,Saturday,Destination Guides,voiceover,voiceover,Tutorial,1,17.93,174314,7104,1708,1203,1566,0.066438,High,15,14.80%,3.5,visit,thingstodo,studyabroad,5
Important update - Visa application checklist,16/01/2026,22:53,Friday,Visa Application Tips,text_overlay,text_overlay,Dramatic,1,41.15,473908,15562,2801,1862,3627,0.05033,Medium,15,12.87%,6.61,visaguide,visa,creatorsearchinsight,3
Low-cost itinerary tips?,16/12/2025,21:53,Tuesday,Budget Travel,screen_recording,screen_recording,Question,1,28.02,29333,1190,330,188,80,0.060955,High,3,15.55%,4.61,travelonabudget,cheaptravel,workvisa,3
